sale_price_int,Address,lat,lng,data_time_1,year,rel_to_mean_price,rel_to_median_price
233200,"265 GERMANIA, Buffalo",42.85308269999999,-78.83445970000002,1990/02/01 00:00,1990,3.2988527802755145,4.24
55500,"281 CABLE, Buffalo",42.87269089999999,-78.80651759999998,1990/02/01 00:00,1990,0.7851043280672859,1.009090909090909
218475,"1779 CLINTON, Buffalo",42.87162379999999,-78.8108441,1990/02/01 00:00,1990,3.090552577918924,3.972272727272727
80000,"1923 SENECA, Buffalo",42.8584539,-78.81370249999998,1990/02/01 00:00,1990,1.131681914331223,1.4545454545454546
65000,"511 HEWITT, Buffalo",42.9425049,-78.80566529999999,1990/02/01 00:00,1990,0.9194915553941185,1.1818181818181819
55000,"91 ROESCH, Buffalo",42.95841220000001,-78.90574759999998,1990/02/01 00:00,1990,0.7780313161027157,1.0
54900,"562 MARILLA, Buffalo",42.837428,-78.819532,1990/02/01 00:00,1990,0.7766167137098017,0.9981818181818182
25000,"77 LEMON, Buffalo",42.8964468,-78.85993069999998,1990/03/01 00:00,1990,0.35365059822850714,0.45454545454545453
69000,"849 COLUMBUS PKWY, Buffalo",42.9064861,-78.8983006,1990/03/01 00:00,1990,0.9760756511106797,1.2545454545454546
123000,"83 UNIVERSITY AVE, Buffalo",42.9555091,-78.82519079999999,1990/03/01 00:00,1990,1.739960943284255,2.2363636363636363
55000,"254 ROUNDS, Buffalo",42.94753240000001,-78.80408359999998,1990/03/01 00:00,1990,0.7780313161027157,1.0
38000,"35 COPSEWOOD, Buffalo",42.9357833,-78.81594319999998,1990/03/01 00:00,1990,0.5375489093073309,0.6909090909090909
37500,"590 WYOMING, Buffalo",42.9308115,-78.82457140000002,1990/03/01 00:00,1990,0.5304758973427607,0.6818181818181818
73500,"140 LEONARD, Buffalo",42.9411396,-78.8039951,1990/03/01 00:00,1990,1.039732758791811,1.3363636363636364
25000,"72 LOCUST, Buffalo",42.89583029999999,-78.86168620000002,1990/03/01 00:00,1990,0.35365059822850714,0.45454545454545453
25000,"140 MULBERRY, Buffalo",42.89727020000001,-78.86224949999998,1990/03/01 00:00,1990,0.35365059822850714,0.45454545454545453
25000,"75 ORANGE, Buffalo",42.8968948,-78.85872950000002,1990/03/01 00:00,1990,0.35365059822850714,0.45454545454545453
85000,"25 DELANEY, Buffalo",42.9568448,-78.8528843,1990/03/01 00:00,1990,1.2024120339769242,1.5454545454545454
